iter	RMSE
647	1.404632388
648	1.40451631
649	1.404406082
650	1.403809293
651	1.403699434
652	1.403629493
653	1.403549695
654	1.403444914
655	1.402764506
656	1.402661434
657	1.401670388
658	1.401078096
659	1.400398316
660	1.399617218
661	1.399086397
662	1.39898633
663	1.398889479
664	1.398216033
665	1.397830029
666	1.396094476
667	1.396000014
668	1.395527186
669	1.393484504
670	1.392704988
671	1.392612136
672	1.391804426
673	1.390500572
674	1.390434652
675	1.39034425
676	1.388755815
677	1.388691608
678	1.388604269
679	1.388541068
680	1.38802504
681	1.38676123
682	1.386677757
683	1.385362991
684	1.384783645
685	1.384704129
686	1.383540291
687	1.382891717
688	1.382811893
689	1.382074375
690	1.382011704
691	1.381635444
692	1.381297746
693	1.380661104
694	1.380583483
695	1.3803072
696	1.379945282
697	1.378755479
698	1.3778801
699	1.377407004
700	1.376513728
701	1.37582368
702	1.375767663
703	1.375693578
704	1.37536099
705	1.375263341
706	1.374257289
707	1.374185147
708	1.373867099
709	1.373797399
710	1.373066646
711	1.372509115
712	1.371798573
713	1.37111066
714	1.371060315
715	1.370589397
716	1.370179688
717	1.36962344
718	1.367721808
719	1.367696128
720	1.367308442
721	1.36686045
722	1.365251093
723	1.363953453
724	1.363497218
725	1.362465358
726	1.362400428
727	1.360604141
728	1.358275758
729	1.358212672
730	1.357911368
731	1.356984099
732	1.355877754
733	1.355815617
734	1.355453444
735	1.355066589
736	1.354054477
737	1.353307507
738	1.352911143
739	1.352166279
740	1.351608858
741	1.35144189
742	1.351384088
743	1.351092351
744	1.350129942
745	1.349396788
746	1.348692233
747	1.347720611
748	1.347664855
749	1.347466593
750	1.347409633
751	1.345916234
752	1.345238463
753	1.342071701
754	1.340799265
755	1.340743333
756	1.340689394
757	1.339944966
758	1.339330666
759	1.339279466
760	1.33922875
761	1.338486087
762	1.33704296
763	1.336943075
764	1.335773005
765	1.335724835
766	1.335570329
767	1.33513361
768	1.334709072
769	1.334662135
770	1.334616887
771	1.333285271
772	1.333240925
773	1.332724136
774	1.331782968
775	1.331720604
776	1.330584316
777	1.328630891
778	1.328471713
779	1.327369685
780	1.326320346
781	1.326062014
782	1.323908101
783	1.323134674
784	1.322804209
785	1.322671484
786	1.322061149
787	1.322019614
788	1.321521754
789	1.32017374
790	1.320061855
791	1.318912527
792	1.318891756
793	1.318495996
794	1.317992725
795	1.315482368
796	1.315261979
797	1.314228619
798	1.313220681
799	1.311693388
800	1.311576894
801	1.310562349
802	1.309870705
803	1.307042743
804	1.30608801
805	1.305521803
806	1.304979893
807	1.304306142
808	1.304230215
809	1.303024463
810	1.302901367
811	1.301236809
812	1.299987032
813	1.299849602
814	1.29975095
815	1.298381815
816	1.295791353
817	1.295759144
818	1.295380477
819	1.294898513
820	1.294805425
821	1.293695557
822	1.292627476
823	1.292340345
824	1.291190289
825	1.290226256
826	1.289649064
827	1.289053001
828	1.288177357
829	1.287270318
830	1.285253955
831	1.284309817
832	1.283313114
833	1.28215246
834	1.28212138
835	1.280986006
836	1.280499161
837	1.280382563
838	1.280319667
839	1.280129815
840	1.279853797
841	1.279124535
842	1.278047934
843	1.27776432
844	1.276844178
845	1.275765516
846	1.275568977
847	1.275154073
848	1.274074002
849	1.274041384
850	1.273479776
851	1.273463842
852	1.272958313
853	1.272796197
854	1.272093283
855	1.271152178
856	1.270194012
857	1.269530911
858	1.268432017
859	1.268025249
860	1.266668048
861	1.26664899
862	1.26625667
863	1.265935927
864	1.265423193
865	1.265321173
866	1.264896327
867	1.264797822
868	1.263747128
869	1.263245666
870	1.262230893
871	1.261286225
872	1.260452022
873	1.259571371
874	1.259496223
875	1.257863314
876	1.257371843
877	1.256403172
878	1.256022991
879	1.255251566
880	1.25347832
881	1.25220974
882	1.25128164
883	1.250248508
884	1.249873568
885	1.249280288
886	1.24825282
887	1.24758662
888	1.24652856
889	1.244626009
890	1.244026193
891	1.243045563
892	1.242901094
893	1.242018978
894	1.241501412
895	1.239156763
896	1.238230416
897	1.236851324
898	1.236703048
899	1.234725416
900	1.233907229
901	1.233743845
902	1.233035728
903	1.231985095
904	1.231233749
905	1.230655641
906	1.229366099
907	1.229000902
908	1.228678475
909	1.227430366
910	1.226608938
911	1.226541236
912	1.22580591
913	1.224572611
914	1.224236549
915	1.223412971
916	1.222311934
917	1.221955806
918	1.2200795
919	1.218001216
920	1.216817944
921	1.216297202
922	1.215801669
923	1.215421462
924	1.215071572
925	1.214018344
926	1.212729282
927	1.212572852
928	1.210955149
929	1.210454639
930	1.20975765
931	1.209103823
932	1.208179366
933	1.207079472
934	1.20586463
935	1.204919067
936	1.203857096
937	1.20360663
938	1.20255844
939	1.201691947
940	1.201032234
941	1.200364004
942	1.200307974
943	1.199375899
944	1.19888854
945	1.198780716
946	1.197956821
947	1.196921103
948	1.195740058
949	1.194734662
950	1.194633828
951	1.193647346
952	1.19318975
953	1.192212606
954	1.191065262
955	1.190730827
956	1.190405553
957	1.18934159
958	1.189024859
959	1.188341093
960	1.187391362
961	1.186043589
962	1.185120751
963	1.184262237
964	1.183145868
965	1.182301537
966	1.181462618
967	1.180496498
968	1.18036983
969	1.179841294
970	1.178962935
971	1.178652674
972	1.178350854
973	1.177497498
974	1.176899961
975	1.176264814
976	1.173791916
977	1.172562944
978	1.170969266
979	1.170678859
980	1.170303491
981	1.169210665
982	1.16859872
983	1.168315616
984	1.167254022
985	1.166723902
986	1.165891476
987	1.16537708
988	1.164570302
